date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:27:30	6350/6350	---M--	200	added ('OK')	image/png	etag:%2218ce-5a2cbf7e6277d%22	http://www.playshrigoagems.com/images/backgrounds/bg-dots.png	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/images/backgrounds/bg-dots.png	(from http://www.playshrigoagems.com/login/logout)
15:27:30	9076/9076	---M--	200	added ('OK')	image/gif	etag:%222374-5a2cbc3c05fb8%22	http://www.playshrigoagems.com/images/loadernew2.gif	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/images/loadernew2.gif	(from http://www.playshrigoagems.com/login/logout)
15:27:31	3441/3441	---M-Z	200	added ('OK')	text/css	etag:%22d71-5a2cbaf4c26f7-gzip%22	http://www.playshrigoagems.com/css/styles_menu.css	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/css/styles_menu.css	(from http://www.playshrigoagems.com/results/resultSummaryOld)
15:27:31	1130/1130	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Aug%202020%2009:57:31%20GMT	http://www.playshrigoagems.com/js/jquery.dropkick-1.0.0.js	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/js/jquery.dropkick-1.0.0.46.delayed	(from http://www.playshrigoagems.com/results/resultSummaryOld)
15:27:31	817/817	---M-Z	200	added ('OK')	text/css	etag:%22331-5a2cbd97d1a47-gzip%22	http://www.playshrigoagems.com/css/scroll/scroll.css	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/css/scroll/scroll.css	(from http://www.playshrigoagems.com/results/resultSummaryOld)
15:27:31	0/-1	---M--	302	error ('')			http://www.playshrigoagems.com/users/resetpassword	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/users/resetpassword.48.delayed	(from http://www.playshrigoagems.com/results/resultSummaryOld)
15:27:31	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2012%20Aug%202020%2009:57:31%20GMT	http://www.playshrigoagems.com/reports/dailyreportnew	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/reports/dailyreportnew.49.delayed	(from http://www.playshrigoagems.com/results/resultSummaryOld)
15:27:32	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2012%20Aug%202020%2009:57:32%20GMT	http://www.playshrigoagems.com/reports/storedDailyReport	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/reports/storedDailyReport.4a.delayed	(from http://www.playshrigoagems.com/results/resultSummaryOld)
15:27:32	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2012%20Aug%202020%2009:57:32%20GMT	http://www.playshrigoagems.com/reports/ticketdetails	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/reports/ticketdetails.4b.delayed	(from http://www.playshrigoagems.com/results/resultSummaryOld)
15:27:32	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2012%20Aug%202020%2009:57:32%20GMT	http://www.playshrigoagems.com/reports/transaction_details	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/reports/transaction_details.4c.delayed	(from http://www.playshrigoagems.com/results/resultSummaryOld)
15:27:32	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2012%20Aug%202020%2009:57:32%20GMT	http://www.playshrigoagems.com/reports/show_report?status=1	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/reports/show_report.4dc044.delayed	(from http://www.playshrigoagems.com/results/resultSummaryOld)
15:27:33	152/152	---M-Z	200	added ('OK')	application/javascript	etag:%2298-5a2cbd97d1a47-gzip%22	http://www.playshrigoagems.com/css/scroll/scroll.js	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/css/scroll/scroll.js	(from http://www.playshrigoagems.com/results/resultSummaryOld)
15:27:37	86709/86709	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd497c-152b5%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.1.1/jquery.min.js	C:/My%20Web%20Sites/goa-star/cdnjs.cloudflare.com/ajax/libs/jquery/3.1.1/jquery.min.js	(from http://www.playshrigoagems.com/results/resultSummaryOld)
15:27:42	78748/78748	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221339c-5a2cbfd361ff4%22	http://www.playshrigoagems.com/plugins/themify-icons/fonts/themify.eot?-fvbane	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/plugins/themify-icons/fonts/themify9f24.eot	(from http://www.playshrigoagems.com/plugins/themify-icons/themify-icons.css)
15:27:44	56108/56108	---M--	200	added ('OK')	application/font-woff	etag:%22db2c-5a2cbfd4a4fed%22	http://www.playshrigoagems.com/plugins/themify-icons/fonts/themify.woff?-fvbane	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/plugins/themify-icons/fonts/themify9f24.woff	(from http://www.playshrigoagems.com/plugins/themify-icons/themify-icons.css)
15:27:45	234269/234269	---M--	200	added ('OK')	image/svg+xml	etag:%223931d-5a2cbfd3e0b4d%22	http://www.playshrigoagems.com/plugins/themify-icons/fonts/themify.svg?-fvbane	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/plugins/themify-icons/fonts/themify9f24.svg	(from http://www.playshrigoagems.com/plugins/themify-icons/themify-icons.css)
15:27:48	78748/78748	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221339c-5a2cbfd361ff4%22	http://www.playshrigoagems.com/plugins/themify-icons/fonts/themify.eot?	C:/My%20Web%20Sites/goa-star/www.playshrigoagems.com/plugins/themify-icons/fonts/themifyd41d.eot	(from http://www.playshrigoagems.com/plugins/themify-icons/themify-icons.css)
